SITE_NUMBER,year,month,TMR_SUB_18
128,2003,1,30.86
128,2003,2,31.47
128,2003,3,28.16
128,2003,4,37.17
128,2003,5,54.59
128,2003,6,60.51
128,2003,7,69.49
128,2003,8,64.19
128,2003,9,54.7
128,2003,10,43.71
128,2003,11,32.5
128,2003,12,24.65
128,2004,1,15.23
128,2004,2,25.73
128,2004,3,29.66
128,2004,4,36.33
128,2004,5,56.25
128,2004,6,64.62
128,2004,7,70.94
128,2004,8,70.35
128,2004,9,55.88
128,2004,10,42.1
128,2004,11,33.02
128,2004,12,30.12
128,2005,1,21.68
128,2005,2,21.24
128,2005,3,30.57
128,2005,4,41.13
128,2005,5,57.51
128,2005,6,63.82
128,2005,7,67.71
128,2005,8,65.49
128,2005,9,55.13
128,2005,10,41.76
128,2005,11,27.3
128,2005,12,26.37
128,2006,1,19.56
128,2006,2,21.62
128,2006,3,23.79
128,2006,4,37.28
128,2006,5,51.73
128,2006,6,62.1
128,2006,7,65.82
128,2006,8,59.18
128,2006,9,52.73
128,2006,10,41.65
128,2006,11,17.65
128,2006,12,23.64
128,2007,1,18.27
128,2007,2,23.94
128,2007,3,14.12
128,2007,4,35.65
128,2007,5,50.17
128,2007,6,60.29
128,2007,7,65.16
128,2007,8,62.12
128,2007,9,54.72
128,2007,10,39.29
128,2007,11,34.08
128,2007,12,27.43
128,2009,1,14.3
128,2009,2,19.08
128,2009,3,24.55
128,2009,4,35.86
128,2009,5,53.91
128,2009,6,61.45
128,2009,7,68.19
128,2009,8,61.56
128,2009,9,53.8
128,2009,10,43.08
128,2009,11,28.9
128,2009,12,23.98
128,2010,1,13.68
128,2010,2,28.24
128,2010,3,29.3
128,2010,4,36.76
128,2010,5,54.18
128,2010,6,61.32
128,2010,7,60.55
128,2010,8,59.83
128,2010,9,53.84
128,2010,10,39.65
128,2010,11,32.89
128,2010,12,18.34
128,2012,1,10.23
128,2012,2,25.02
128,2012,3,23.63
128,2012,4,39.25
128,2012,5,49.56
128,2012,6,60.32
128,2012,7,60.6
128,2012,8,60.59
128,2012,9,50.97
128,2012,10,37.57
128,2012,11,22.45
128,2012,12,10.82
128,2013,1,10.56
128,2013,2,25.14
128,2013,3,27.25
128,2013,4,33.74
128,2013,5,49.56
128,2013,6,67.26
128,2013,7,67.95
128,2013,8,63.76
128,2013,9,52.93
128,2013,10,42.51
128,2013,11,32.64
128,2013,12,19.53
128,2014,1,29.14
128,2014,2,22.52
128,2014,3,28.51
128,2014,4,36.79
128,2014,5,59.12
128,2014,6,59.6
128,2014,7,65.75
128,2014,8,61.69
128,2014,9,53.77
128,2014,10,38.56
128,2014,11,33.04
128,2014,12,31.94
128,2015,1,28.96
128,2015,2,22.52
128,2015,3,28.51
128,2015,4,36.76
128,2015,5,59.12
128,2015,6,64.14
128,2015,7,64.94
128,2015,8,61.69
128,2015,9,53.77
128,2015,10,38.56
128,2015,11,32.42
128,2016,1,30.77
128,2016,2,30.7
128,2016,3,31.45
128,2016,4,41.5
128,2016,5,52.16
128,2016,6,62.71
128,2016,7,65.09
128,2016,8,60.08
128,2016,9,54.8
128,2016,10,39.83
128,2016,11,33.91
128,2016,12,23.24
128,2017,1,17.05
128,2017,2,21.66
128,2017,3,18.02
128,2017,4,34.86
128,2017,5,45.04
128,2017,6,54.78
128,2017,7,60.28
128,2017,8,59.61
128,2017,9,50.96
128,2017,10,41.1
128,2017,11,29.01
128,2017,12,28.33
